*Frequency 	VF2-abs (dB)	VF2-phase (deg)	VF1-abs (dB)	VF1-phase (deg)
10	39.9987893198235	179.998853131554	0	180
11.7489755493953	39.998789319173	179.998652547068	0	180
13.8038426460288	39.998789318275	179.998416880844	0	180
16.2181009735893	39.9987893170354	179.998139997175	0	180
19.0546071796325	39.9987893153244	179.997814687229	0	180
22.3872113856834	39.9987893129625	179.997432481369	0	180
26.3026799189538	39.9987893097022	179.996983428639	0	180
30.9029543251359	39.9987893052017	179.996455837685	0	180
36.3078054770101	39.9987892989893	179.995835972364	0	180
42.6579518801593	39.9987892904137	179.995107694114	0	180
50.1187233627272	39.9987892785762	179.994252041782	0	180
58.8843655355589	39.9987892622359	179.993246737953	0	180
69.1830970918936	39.99878923968	179.992065608946	0	180
81.2830516164099	39.9987892085441	179.990677903373	0	180
95.4992586021436	39.9987891655647	179.989047491502	0	180
112.201845430196	39.9987891062365	179.987131924603	0	180
131.825673855641	39.9987890243409	179.984881329774	0	180
154.881661891248	39.9987889112934	179.98223711147	0	180
181.970085860998	39.9987887552445	179.979130425945	0	180
213.796208950223	39.998788539837	179.975480388872	0	180
251.188643150958	39.998788242492	179.97119196949	0	180
295.120922666639	39.9987878320416	179.966153516448	0	180
346.736850452532	39.9987872654624	179.960233850945	0	180
407.380277804113	39.9987864833655	179.953278851486	0	180
478.630092322638	39.9987854037714	179.945107441356	0	180
562.341325190349	39.9987839135173	179.935506874378	0	180
660.693448007596	39.9987818563947	179.924227196256	0	180
776.247116628692	39.9987790167767	179.910974737385	0	180
912.010839355911	39.9987750970157	179.89540446782	0	180
1071.51930523761	39.9987696862451	179.877111015576	0	180
1258.92541179417	39.9987622173136	179.85561811472	0	180
1479.10838816821	39.9987519073392	179.830366209076	0	180
1737.80082874938	39.998737675653	179.800697889619	0	180
2041.73794466953	39.998718030534	179.765840787822	0	180
2398.83291901949	39.9986909128667	179.724887481781	0	180
2818.38293126446	39.9986534803436	179.676771895598	0	180
3311.31121482591	39.9986018096079	179.620241583451	0	180
3890.45144994281	39.9985304851472	179.55382518625	0	180
4570.88189614875	39.9984320319082	179.47579422908	0	180
5370.31796370253	39.9982961322729	179.384118289829	0	180
6309.57344480194	39.9981085455404	179.27641241241	0	180
7413.10241300918	39.9978496170768	179.149875461288	0	180
8709.63589956082	39.9974922216585	179.001217919024	0	180
10232.9299228075	39.9969989269585	178.826577419871	0	180
12022.6443461741	39.9963180827511	178.621420100292	0	180
14125.3754462276	39.9953784314312	178.38042565126	0	180
16595.8690743756	39.9940816854332	178.097353812861	0	180
19498.4459975805	39.9922923134993	177.76489002035	0	180
22908.6765276777	39.9898235031676	177.374468095627	0	180
26915.3480392692	39.9864179001379	176.916068449083	0	180
31622.7766016838	39.9817212421855	176.377991489174	0	180
37153.5229097173	39.9752463821929	175.746608268191	0	180
43651.5832240166	39.9663244161534	175.006094503295	0	180
51286.1383991365	39.9540387078938	174.138161033982	0	180
60255.9586074359	39.9371366029067	173.121805016469	0	180
70794.5784384139	39.9139127423892	171.933123784914	0	180
83176.3771102673	39.88205755031	170.545259906026	0	180
97723.7220955811	39.838465497273	168.9285840973	0	180
114815.362149688	39.779001598542	167.051273445966	0	180
134896.288259166	39.6982335662832	164.88050187741	0	180
158489.319246112	39.5891541560706	162.384512708017	0	180
186208.713666287	39.4429463893945	159.535852653459	0	180
218776.162394955	39.2488833542589	156.315945436062	0	180
257039.578276886	38.9944954583211	152.720877947753	0	180
301995.172040202	38.6661570277135	148.767690260386	0	180
354813.389233576	38.2502000306584	144.499664117086	0	180
416869.383470335	37.7345169348309	139.988432654115	0	180
489778.819368447	37.110378453547	135.330807085482	0	180
575439.937337157	36.3739715539946	130.639556315236	0	180
676082.975391982	35.5271294630496	126.029732759581	0	180
794328.234724283	34.5769736493525	121.604234094126	0	180
933254.300796993	33.5346068422789	117.442671287402	0	180
1096478.19614319	32.4133287589107	113.595992892234	0	180
1288249.55169314	31.2269105533722	110.086865523565	0	180
1513561.24843621	29.988290243553	106.914024010688	0	180
1778279.41003893	28.708803326916	104.058317316889	0	180
2089296.13085404	27.3978793192016	101.488662713171	0	180
2454708.91568503	26.0630578204907	99.1669288906374	0	180
2884031.50312661	24.7101794731833	97.0514445966326	0	180
3388441.56139203	23.3436440098688	95.0992275131479	0	180
3981071.70553498	21.9666686969859	93.2671900953956	0	180
4677351.41287199	20.5815123284945	91.5125994568023	0	180
5495408.73857625	19.1896500772927	89.793025926742	0	180
6456542.29034657	17.7918951845534	88.0659568714897	0	180
7585775.75029186	16.3884677796608	86.2882011180828	0	180
8912509.38133745	14.9790116367082	84.415172935831	0	180
10471285.480509	13.5625581240164	82.4001247845373	0	180
12302687.7081238	12.1374341058699	80.1933950149914	0	180
14454397.7074593	10.7011079339864	77.7417510189374	0	180
16982436.5246175	9.24996580783944	74.9879418121612	0	180
19952623.1496888	7.77901102274023	71.8706292015079	0	180
23442288.1531993	6.28148315578777	68.3249444331126	0	180
27542287.0333817	4.74840645120359	64.2840116905148	0	180
32359365.6929629	3.16810104017506	59.6818689639548	0	180
38018939.6320562	1.52573137327533	54.458248786586	0	180
44668359.2150963	-0.196976627867345	48.5655627285845	0	180
52480746.0249773	-2.02165613760771	41.9780385214737	0	180
61659500.1861483	-3.97262830637298	34.7021918144627	0	180
72443596.007499	-6.07545074798588	26.7867475848031	0	180
85113803.8202377	-8.35465962300172	18.3291459706449	0	180
99999999.9999999	-10.8309553893168	9.47554033996011	0	180
 
